Locus,Allele,Frequency
CSF1PO,10.1,0.0001 
CSF1PO,10.2,0.0001 
CSF1PO,11,0.2422 
CSF1PO,12,0.3834 
CSF1PO,13,0.0758 
CSF1PO,13.2,0.0001 
CSF1PO,14,0.0130 
CSF1PO,15,0.0017 
CSF1PO,16,0.0001 
D18S853,9,0.0004 
D18S853,10,0.0185 
D18S853,11,0.4109 
D18S853,12,0.0538 
D18S853,13,0.2284 
D18S853,14,0.2236 
D18S853,15,0.0626 
D18S853,16,0.0016 
D18S853,17.2,0.0001 
D18S853,18,0.0001 
D10S1435,3.1,0.0001 
D10S1435,5,0.0001 
D10S1435,6,0.0003 
D10S1435,7,0.0005 
D10S1435,7.3,0.0001 
D10S1435,8,0.0270 
D10S1435,9,0.0022 
D10S1435,10,0.0375 
D10S1435,10.3,0.0011 
D10S1435,11,0.1551 
D10S1435,11.3,0.0003 
D10S1435,12,0.3696 
D10S1435,12.1,0.0002 
D10S1435,12.2,0.0001 
D10S1435,13,0.2519 
D10S1435,13.3,0.0001 
D10S1435,14,0.1349 
D10S1435,14.2,0.0001 
D10S1435,14.3,0.0002 
D10S1435,15,0.0158 
D10S1435,15.2,0.0001 
D10S1435,16,0.0028 
D10S1435,17,0.0001 
D8S1179,8,0.0014 
D8S1179,9,0.0005 
D8S1179,10,0.1177 
D8S1179,11,0.0949 
D8S1179,12,0.1247 
D8S1179,13,0.2167 
D8S1179,14,0.1813 
D8S1179,15,0.1740 
D8S1179,15.1,0.0001 
D8S1179,16,0.0720 
D8S1179,17,0.0140 
D8S1179,18,0.0025 
D8S1179,19,0.0001 
D7S820,6,0.0001 
D7S820,7,0.0019 
D7S820,7.1,0.0001 
D7S820,7.3,0.0001 
D7S820,8,0.1427 
D7S820,9,0.0620 
D7S820,9.1,0.0034 
D7S820,9.2,0.0003 
D7S820,10,0.1624 
D7S820,10.1,0.0009 
D7S820,10.3,0.0001 
D7S820,11,0.3480 
D7S820,11.1,0.0003 
D7S820,12,0.2376 
D7S820,13,0.0358 
D7S820,13.1,0.0001 
D7S820,14,0.0042 
D7S820,15,0.0001 
PentaD,5,0.0001 
PentaD,6,0.0031 
PentaD,7,0.0081 
PentaD,7.2,0.0001 
PentaD,8,0.0504 
PentaD,9,0.3223 
PentaD,10,0.1260 
PentaD,11,0.1479 
PentaD,11.2,0.0001 
PentaD,12,0.1730 
PentaD,13,0.1209 
PentaD,14,0.0384 
PentaD,15,0.0087 
PentaD,16,0.0011 
PentaD,17,0.0002 
D13S317,5,0.0001 
D13S317,6,0.0003 
D13S317,7,0.0021 
D13S317,8,0.2776 
D13S317,9,0.1365 
D13S317,10,0.1445 
D13S317,11,0.2408 
D13S317,12,0.1523 
D13S317,13,0.0358 
D13S317,14,0.0095 
D13S317,15,0.0004 
D6S1017,7,0.0004 
D6S1017,8,0.1903 
D6S1017,9,0.0023 
D6S1017,10,0.4111 
D6S1017,11,0.0307 
D6S1017,12,0.2714 
D6S1017,13,0.0864 
D6S1017,14,0.0060 
D6S1017,15,0.0014 
D6S1043,7,0.0002 
D6S1043,8,0.0004 
D6S1043,9,0.0018 
D6S1043,10,0.0312 
D6S1043,11,0.1018 
D6S1043,12,0.1371 
D6S1043,12.3,0.0004 
D6S1043,13,0.1366 
D6S1043,13.3,0.0001 
D6S1043,14,0.1409 
D6S1043,15,0.0168 
D6S1043,16,0.0030 
D6S1043,17,0.0439 
D6S1043,17.2,0.0001 
D6S1043,17.3,0.0004 
D6S1043,18,0.1766 
D6S1043,18.2,0.0004 
D6S1043,19,0.1469 
D6S1043,19.2,0.0001 
D6S1043,19.3,0.0002 
D6S1043,20,0.0501 
D6S1043,20.3,0.0016 
D6S1043,21,0.0066 
D6S1043,21.3,0.0022 
D6S1043,22,0.0002 
D6S1043,22.3,0.0005 
SE33,8,0.0001 
SE33,10,0.0001 
SE33,11,0.0004 
SE33,12,0.0005 
SE33,12.2,0.0001 
SE33,13,0.0017 
SE33,13.1,0.0001 
SE33,13.2,0.0003 
SE33,14,0.0051 
SE33,14.1,0.0001 
SE33,14.2,0.0004 
SE33,15,0.0093 
SE33,15.1,0.0006 
SE33,15.2,0.0001 
SE33,15.3,0.0001 
SE33,16,0.0234 
SE33,16.1,0.0002 
SE33,16.2,0.0003 
SE33,16.3,0.0003 
SE33,17,0.0490 
SE33,17.1,0.0003 
SE33,17.2,0.0004 
SE33,17.3,0.0001 
SE33,18,0.0662 
SE33,18.1,0.0001 
SE33,18.2,0.0002 
SE33,19,0.0769 
SE33,19.1,0.0002 
SE33,19.2,0.0013 
SE33,19.3,0.0001 
SE33,20,0.0632 
SE33,20.2,0.0071 
SE33,21,0.0430 
SE33,21.1,0.0002 
SE33,21.2,0.0162 
SE33,22,0.0160 
SE33,22.1,0.0001 
SE33,22.2,0.0317 
SE33,22.3,0.0001 
SE33,23,0.0056 
SE33,23.1,0.0001 
SE33,23.2,0.0433 
SE33,24,0.0021 
SE33,24.2,0.0639 
SE33,24.3,0.0001 
SE33,25,0.0011 
SE33,25.1,0.0001 
SE33,25.2,0.0733 
SE33,26,0.0003 
SE33,26.2,0.0741 
SE33,26.3,0.0002 
SE33,27,0.0006 
SE33,27.2,0.0781 
SE33,28,0.0002 
SE33,28.1,0.0001 
SE33,28.2,0.0750 
SE33,28.3,0.0001 
SE33,29,0.0002 
SE33,29.1,0.0002 
SE33,29.2,0.0652 
SE33,30,0.0001 
SE33,30.1,0.0001 
SE33,30.2,0.0465 
SE33,30.3,0.0001 
SE33,31,0.0001 
SE33,31.1,0.0003 
SE33,31.2,0.0280 
SE33,32,0.0001 
SE33,32.1,0.0001 
SE33,32.2,0.0155 
SE33,33,0.0001 
SE33,33.2,0.0069 
SE33,34.2,0.0022 
SE33,35,0.0001 
SE33,35.2,0.0006 
SE33,36.2,0.0003 
D19S433,9,0.0002 
D19S433,9.2,0.0001 
D19S433,10,0.0003 
D19S433,11,0.0030 
D19S433,11.2,0.0001 
D19S433,12,0.0407 
D19S433,12.1,0.0001 
D19S433,12.2,0.0049 
D19S433,13,0.2836 
D19S433,13.1,0.0001 
D19S433,13.2,0.0434 
D19S433,14,0.2477 
D19S433,14.2,0.1086 
D19S433,15,0.0677 
D19S433,15.2,0.1483 
D19S433,16,0.0123 
D19S433,16.2,0.0326 
D19S433,17,0.0013 
D19S433,17.2,0.0044 
D19S433,18,0.0001 
D19S433,18.2,0.0006 
D12S391,14,0.0001 
D12S391,15,0.0125 
D12S391,16,0.0071 
D12S391,17,0.0846 
D12S391,17.3,0.0002 
D12S391,18,0.2199 
D12S391,18.2,0.0001 
D12S391,18.3,0.0005 
D12S391,19,0.2151 
D12S391,19.2,0.0001 
D12S391,19.3,0.0003 
D12S391,20,0.1781 
D12S391,20.3,0.0001 
D12S391,21,0.1163 
D12S391,21.3,0.0001 
D12S391,22,0.0865 
D12S391,23,0.0455 
D12S391,24,0.0203 
D12S391,25,0.0104 
D12S391,26,0.0019 
D12S391,27,0.0003 
D1S1656,8,0.0002 
D1S1656,9,0.0003 
D1S1656,10,0.0011 
D1S1656,11,0.0672 
D1S1656,12,0.0399 
D1S1656,13,0.1011 
D1S1656,14,0.0809 
D1S1656,14.3,0.0002 
D1S1656,15,0.2967 
D1S1656,15.3,0.0010 
D1S1656,16,0.2237 
D1S1656,16.1,0.0001 
D1S1656,16.3,0.0077 
D1S1656,17,0.0786 
D1S1656,17.3,0.0613 
D1S1656,18,0.0105 
D1S1656,18.3,0.0248 
D1S1656,19,0.0008 
D1S1656,19.3,0.0033 
D1S1656,20,0.0001 
D1S1656,20.3,0.0006 
D1S1656,21,0.0001 
FGA,13,0.0004 
FGA,14,0.0003 
FGA,15,0.0001 
FGA,16,0.0010 
FGA,16.2,0.0001 
FGA,17,0.0010 
FGA,17.2,0.0001 
FGA,18,0.0252 
FGA,18.2,0.0001 
FGA,19,0.0520 
FGA,19.2,0.0001 
FGA,20,0.0497 
FGA,20.2,0.0002 
FGA,21,0.1116 
FGA,21.2,0.0038 
FGA,22,0.1738 
FGA,22.2,0.0062 
FGA,23,0.2144 
FGA,23.1,0.0001 
FGA,23.2,0.0107 
FGA,24,0.1750 
FGA,24.2,0.0096 
FGA,25,0.0989 
FGA,25.2,0.0041 
FGA,25.3,0.0001 
FGA,26,0.0467 
FGA,26.2,0.0007 
FGA,27,0.0111 
FGA,27.2,0.0004 
FGA,28,0.0019 
FGA,28.2,0.0001 
FGA,29,0.0004 
FGA,30,0.0001 
D17S1301,7,0.0002 
D17S1301,8,0.0043 
D17S1301,9,0.0305 
D17S1301,10,0.0550 
D17S1301,11,0.1903 
D17S1301,11.1,0.0001 
D17S1301,11.3,0.0001 
D17S1301,12,0.4547 
D17S1301,13,0.2132 
D17S1301,14,0.0459 
D17S1301,15,0.0056 
D17S1301,16,0.0001 
D21S11,25,0.0001 
D21S11,26,0.0001 
D21S11,27,0.0024 
D21S11,27.2,0.0001 
D21S11,28,0.0490 
D21S11,28.2,0.0060 
D21S11,29,0.2613 
D21S11,29.2,0.0015 
D21S11,29.3,0.0001 
D21S11,30,0.2771 
D21S11,30.1,0.0001 
D21S11,30.2,0.0093 
D21S11,30.3,0.0047 
D21S11,31,0.1020 
D21S11,31.2,0.0738 
D21S11,31.3,0.0001 
D21S11,32,0.0296 
D21S11,32.1,0.0001 
D21S11,32.2,0.1282 
D21S11,32.3,0.0001 
D21S11,33,0.0039 
D21S11,33.1,0.0001 
D21S11,33.2,0.0450 
D21S11,34,0.0007 
D21S11,34.2,0.0043 
D21S11,35,0.0003 
D21S11,35.2,0.0003 
D21S11,36.2,0.0001 
D2S441,8,0.0003 
D2S441,8.1,0.0004 
D2S441,9,0.0005 
D2S441,9.1,0.0264 
D2S441,9.3,0.0001 
D2S441,10,0.2475 
D2S441,10.1,0.0016 
D2S441,11,0.3325 
D2S441,11.1,0.0001 
D2S441,11.3,0.0444 
D2S441,12,0.1816 
D2S441,12.3,0.0009 
D2S441,13,0.0233 
D2S441,14,0.1275 
D2S441,14.1,0.0003 
D2S441,15,0.0117 
D2S441,16,0.0008 
D18S51,9,0.0003 
D18S51,10,0.0013 
D18S51,11,0.0043 
D18S51,12,0.0387 
D18S51,13,0.1839 
D18S51,14,0.2134 
D18S51,15,0.1729 
D18S51,16,0.1283 
D18S51,16.2,0.0001 
D18S51,17,0.0742 
D18S51,17.1,0.0001 
D18S51,18,0.0461 
D18S51,19,0.0485 
D18S51,20,0.0299 
D18S51,21,0.0250 
D18S51,22,0.0182 
D18S51,23,0.0079 
